no,n_estimators,max_depth,eta,subsample,colsample_bytree,MSE,R
342,100,1,0.3,0.4,0.1,50.10628354,0.483678966
343,100,1,0.3,0.4,0.2,50.10628354,0.483678966
344,100,1,0.3,0.4,0.3,50.10628354,0.483678966
345,100,1,0.3,0.4,0.4,86.45495726,0.10593532
346,100,1,0.3,0.4,0.5,86.45495726,0.10593532
347,100,1,0.3,0.4,0.6,88.04466436,0.016347384
348,100,1,0.3,0.4,0.7,88.04466436,0.016347384
349,100,1,0.3,0.4,0.8,88.6111446,-0.144175894
350,100,1,0.3,0.4,0.9,88.6111446,-0.144175894
351,100,1,0.3,0.5,0,60.43653823,0.347196167
352,100,1,0.3,0.5,0.1,60.43653823,0.347196167
353,100,1,0.3,0.5,0.2,60.43653823,0.347196167
354,100,1,0.3,0.5,0.3,60.43653823,0.347196167
355,100,1,0.3,0.5,0.4,66.67021173,0.302024197
356,100,1,0.3,0.5,0.5,66.67021173,0.302024197
357,100,1,0.3,0.5,0.6,84.95045419,0.03360384
358,100,1,0.3,0.5,0.7,84.95045419,0.03360384
359,100,1,0.3,0.5,0.8,53.14502049,0.447701965
360,100,1,0.3,0.5,0.9,53.14502049,0.447701965
361,100,1,0.3,0.6,0,58.55887382,0.423256027
362,100,1,0.3,0.6,0.1,58.55887382,0.423256027
363,100,1,0.3,0.6,0.2,58.55887382,0.423256027
364,100,1,0.3,0.6,0.3,58.55887382,0.423256027
365,100,1,0.3,0.6,0.4,76.95327489,0.247418264
366,100,1,0.3,0.6,0.5,76.95327489,0.247418264
367,100,1,0.3,0.6,0.6,69.40152492,0.211545471
368,100,1,0.3,0.6,0.7,69.40152492,0.211545471
369,100,1,0.3,0.6,0.8,65.55989183,0.299220861
370,100,1,0.3,0.6,0.9,65.55989183,0.299220861
371,100,1,0.3,0.7,0,56.61282844,0.389775739
372,100,1,0.3,0.7,0.1,56.61282844,0.389775739
373,100,1,0.3,0.7,0.2,56.61282844,0.389775739
374,100,1,0.3,0.7,0.3,56.61282844,0.389775739
375,100,1,0.3,0.7,0.4,67.9774792,0.25882478
376,100,1,0.3,0.7,0.5,67.9774792,0.25882478
377,100,1,0.3,0.7,0.6,66.05693472,0.287458408
378,100,1,0.3,0.7,0.7,66.05693472,0.287458408
379,100,1,0.3,0.7,0.8,71.05584528,0.257638706
380,100,1,0.3,0.7,0.9,71.05584528,0.257638706
381,100,1,0.3,0.8,0,62.40654276,0.340109458
382,100,1,0.3,0.8,0.1,62.40654276,0.340109458
383,100,1,0.3,0.8,0.2,62.40654276,0.340109458
384,100,1,0.3,0.8,0.3,62.40654276,0.340109458
385,100,1,0.3,0.8,0.4,58.96344457,0.366558289
386,100,1,0.3,0.8,0.5,58.96344457,0.366558289
387,100,1,0.3,0.8,0.6,61.38612143,0.308609534
388,100,1,0.3,0.8,0.7,61.38612143,0.308609534
389,100,1,0.3,0.8,0.8,70.86735806,0.227186675
390,100,1,0.3,0.8,0.9,70.86735806,0.227186675
391,100,1,0.3,0.9,0,62.96848876,0.346467464
392,100,1,0.3,0.9,0.1,62.96848876,0.346467464
393,100,1,0.3,0.9,0.2,62.96848876,0.346467464
394,100,1,0.3,0.9,0.3,62.96848876,0.346467464
395,100,1,0.3,0.9,0.4,69.13575495,0.257816242
396,100,1,0.3,0.9,0.5,69.13575495,0.257816242
397,100,1,0.3,0.9,0.6,68.18794187,0.242383652
398,100,1,0.3,0.9,0.7,68.18794187,0.242383652
399,100,1,0.3,0.9,0.8,69.30128645,0.277878345
400,100,1,0.3,0.9,0.9,69.30128645,0.277878345
401,100,1,0.4,0,0,68.77345456,nan
402,100,1,0.4,0,0.1,68.77345456,nan
403,100,1,0.4,0,0.2,68.77345456,nan
404,100,1,0.4,0,0.3,68.77345456,nan
405,100,1,0.4,0,0.4,68.77345456,nan
406,100,1,0.4,0,0.5,68.77345456,nan
407,100,1,0.4,0,0.6,68.77345456,nan
408,100,1,0.4,0,0.7,68.77345456,nan
409,100,1,0.4,0,0.8,68.77345456,nan
410,100,1,0.4,0,0.9,68.77345456,nan
411,100,1,0.4,0.1,0,72.34265403,0.296976769
412,100,1,0.4,0.1,0.1,72.34265403,0.296976769
413,100,1,0.4,0.1,0.2,72.34265403,0.296976769
414,100,1,0.4,0.1,0.3,72.34265403,0.296976769
