,n_iter,Number of Ants,alpha,beta,Evaporation rate,n_node,MSE,R
278,200,100,0.4,0.8,0.7,600,10.89079458,0.957993431
279,200,100,0.4,0.8,0.7,700,10.53006868,0.958480022
280,200,100,0.4,0.8,0.7,800,10.38130948,0.958890733
281,200,100,0.4,0.8,0.7,900,10.05078732,0.958816388
282,200,100,0.4,0.8,0.7,1000,12.05331531,0.958494571
283,200,100,0.4,0.8,0.8,500,22.36034633,0.965452353
284,200,100,0.4,0.8,0.8,600,22.28370827,0.964947425
285,200,100,0.4,0.8,0.8,700,21.51092526,0.965043591
286,200,100,0.4,0.8,0.8,800,20.5822265,0.965392432
287,200,100,0.4,0.8,0.8,900,23.05145486,0.965544696
288,200,100,0.4,0.8,0.8,1000,20.16111691,0.965360062
289,200,100,0.4,0.8,0.9,500,39.67283032,0.965096013
290,200,100,0.4,0.8,0.9,600,19.11592455,0.956908221
291,200,100,0.4,0.8,0.9,700,36.67225201,0.964576087
292,200,100,0.4,0.8,0.9,800,17.57246234,0.956356931
293,200,100,0.4,0.8,0.9,900,37.14705633,0.965668224
294,200,100,0.4,0.8,0.9,1000,34.70748616,0.965415409
295,200,100,0.4,0.8,1,500,53.65390176,0.964585643
296,200,100,0.4,0.8,1,600,53.48691319,0.964624219
297,200,100,0.4,0.8,1,700,55.12525997,0.964955925
298,200,100,0.4,0.8,1,800,51.46891222,0.96412713
299,200,100,0.4,0.8,1,900,56.07154585,0.964967834
300,200,100,0.4,0.8,1,1000,54.56666793,0.964641924
301,200,100,0.4,0.9,0.1,500,19.00797995,0.960277159
302,200,100,0.4,0.9,0.1,600,19.53164881,0.960275702
303,200,100,0.4,0.9,0.1,700,18.90451119,0.960354965
304,200,100,0.4,0.9,0.1,800,21.59446046,0.960700656
305,200,100,0.4,0.9,0.1,900,18.23903716,0.960213227
306,200,100,0.4,0.9,0.1,1000,21.01025798,0.960826178
307,200,100,0.4,0.9,0.2,500,17.38845038,0.96002701
308,200,100,0.4,0.9,0.2,600,15.56430153,0.959616992
309,200,100,0.4,0.9,0.2,700,16.25334071,0.959845723
310,200,100,0.4,0.9,0.2,800,16.22721208,0.959797017
311,200,100,0.4,0.9,0.2,900,15.55222418,0.959665062
312,200,100,0.4,0.9,0.2,1000,16.29907409,0.960101376
313,200,100,0.4,0.9,0.3,500,16.07492421,0.959782596
314,200,100,0.4,0.9,0.3,600,14.58875269,0.95978736
315,200,100,0.4,0.9,0.3,700,15.25569311,0.959609745
316,200,100,0.4,0.9,0.3,800,12.54738491,0.959127132
317,200,100,0.4,0.9,0.3,900,14.15728086,0.959345707
318,200,100,0.4,0.9,0.3,1000,12.01012083,0.958923486
319,200,100,0.4,0.9,0.4,500,12.68950226,0.958956172
320,200,100,0.4,0.9,0.4,600,11.8756971,0.958991937
321,200,100,0.4,0.9,0.4,700,12.06822507,0.959028228
322,200,100,0.4,0.9,0.4,800,11.6074046,0.9590251
323,200,100,0.4,0.9,0.4,900,12.38580089,0.95944854
324,200,100,0.4,0.9,0.4,1000,12.67071891,0.958717866
325,200,100,0.4,0.9,0.5,500,11.00329391,0.95850955
326,200,100,0.4,0.9,0.5,600,11.34134916,0.958748119
327,200,100,0.4,0.9,0.5,700,11.25116972,0.958951304
328,200,100,0.4,0.9,0.5,800,10.53911502,0.958332687
329,200,100,0.4,0.9,0.5,900,11.41596735,0.958729456
330,200,100,0.4,0.9,0.5,1000,11.0742383,0.958564871
331,200,100,0.4,0.9,0.6,500,8.510947791,0.959926126
332,200,100,0.4,0.9,0.6,600,8.672138205,0.959249101
333,200,100,0.4,0.9,0.6,700,8.657648971,0.960037295
334,200,100,0.4,0.9,0.6,800,8.573292076,0.959882682
335,200,100,0.4,0.9,0.6,900,8.493575494,0.9594956
336,200,100,0.4,0.9,0.6,1000,8.657816544,0.960195089
337,200,100,0.4,0.9,0.7,500,9.149696799,0.958493874
338,200,100,0.4,0.9,0.7,600,9.192488702,0.959094098
339,200,100,0.4,0.9,0.7,700,8.855973452,0.958833379
340,200,100,0.4,0.9,0.7,800,9.564144677,0.958390031
341,200,100,0.4,0.9,0.7,900,8.886961232,0.959793318
342,200,100,0.4,0.9,0.7,1000,9.358654054,0.95899434
343,200,100,0.4,0.9,0.8,500,10.23662819,0.958326468
344,200,100,0.4,0.9,0.8,600,10.6682839,0.957922131
345,200,100,0.4,0.9,0.8,700,16.84620306,0.965398298
346,200,100,0.4,0.9,0.8,800,10.50279482,0.958112062
347,200,100,0.4,0.9,0.8,900,10.06071205,0.958498816
348,200,100,0.4,0.9,0.8,1000,16.96204083,0.965761998
349,200,100,0.4,0.9,0.9,500,23.92996882,0.964494917
350,200,100,0.4,0.9,0.9,600,26.07924642,0.965508218
351,200,100,0.4,0.9,0.9,700,22.7690944,0.964933583
352,200,100,0.4,0.9,0.9,800,24.94685585,0.966011856
353,200,100,0.4,0.9,0.9,900,24.05177865,0.965200184
354,200,100,0.4,0.9,0.9,1000,24.98120224,0.96602611
355,200,100,0.4,0.9,1,500,35.63906627,0.964367055
356,200,100,0.4,0.9,1,600,39.05588727,0.964946797
357,200,100,0.4,0.9,1,700,36.29034185,0.964756437
358,200,100,0.4,0.9,1,800,40.5833634,0.965134962
359,200,100,0.4,0.9,1,900,39.71296416,0.965247613
360,200,100,0.4,0.9,1,1000,39.13564515,0.96532956
361,200,100,0.4,1,0.1,500,21.81039238,0.9608638
362,200,100,0.4,1,0.1,600,21.8557176,0.960679913
363,200,100,0.4,1,0.1,700,21.69080927,0.960670539
364,200,100,0.4,1,0.1,800,21.39645626,0.960578411
365,200,100,0.4,1,0.1,900,23.61838329,0.961090876
366,200,100,0.4,1,0.1,1000,22.19811697,0.960830562
367,200,100,0.4,1,0.2,500,20.0431039,0.960806855
368,200,100,0.4,1,0.2,600,18.40095829,0.959958962
369,200,100,0.4,1,0.2,700,18.97716906,0.959955898
370,200,100,0.4,1,0.2,800,17.17759203,0.961827198
371,200,100,0.4,1,0.2,900,18.8257636,0.960194953
372,200,100,0.4,1,0.2,1000,20.52973662,0.9605386
373,200,100,0.4,1,0.3,500,15.56059539,0.95987215
374,200,100,0.4,1,0.3,600,16.81484276,0.960007016
375,200,100,0.4,1,0.3,700,14.53884984,0.95928547
376,200,100,0.4,1,0.3,800,16.23472042,0.959966265
377,200,100,0.4,1,0.3,900,16.26459826,0.960013746
378,200,100,0.4,1,0.3,1000,15.79809995,0.962114993
379,200,100,0.4,1,0.4,500,12.74197026,0.95923665
380,200,100,0.4,1,0.4,600,14.35614086,0.959189001
381,200,100,0.4,1,0.4,700,13.64919674,0.958963469
382,200,100,0.4,1,0.4,800,13.39710825,0.959235657
383,200,100,0.4,1,0.4,900,12.79210426,0.959025323
384,200,100,0.4,1,0.4,1000,13.92131977,0.959810663
385,200,100,0.4,1,0.5,500,12.56126707,0.959014876
386,200,100,0.4,1,0.5,600,12.83802602,0.959015271
387,200,100,0.4,1,0.5,700,12.62625679,0.958636149
388,200,100,0.4,1,0.5,800,12.0794967,0.959103211
389,200,100,0.4,1,0.5,900,12.76079789,0.959043791
390,200,100,0.4,1,0.5,1000,12.40422141,0.959255442
391,200,100,0.4,1,0.6,500,8.710323705,0.961001933
392,200,100,0.4,1,0.6,600,9.036803799,0.961020209
393,200,100,0.4,1,0.6,700,8.678189613,0.959625642
394,200,100,0.4,1,0.6,800,9.132124417,0.96054437
395,200,100,0.4,1,0.6,900,12.00573347,0.959034322
396,200,100,0.4,1,0.6,1000,8.907887194,0.960540082
397,200,100,0.4,1,0.7,500,8.63795697,0.959184282
398,200,100,0.4,1,0.7,600,8.526362792,0.959612781
399,200,100,0.4,1,0.7,700,8.607613312,0.959369375
400,200,100,0.4,1,0.7,800,8.538567155,0.958581707
401,200,100,0.4,1,0.7,900,8.642960912,0.959776295
402,200,100,0.4,1,0.7,1000,8.574338582,0.959819351
403,200,100,0.4,1,0.8,500,13.22152838,0.965416136
404,200,100,0.4,1,0.8,600,13.41620171,0.965051566
405,200,100,0.4,1,0.8,700,9.154725628,0.95865835
406,200,100,0.4,1,0.8,800,12.98843439,0.965511252
407,200,100,0.4,1,0.8,900,8.96015361,0.958228135
408,200,100,0.4,1,0.8,1000,8.888337311,0.958666165
409,200,100,0.4,1,0.9,500,18.2436016,0.96515019
410,200,100,0.4,1,0.9,600,17.22264274,0.964929702
411,200,100,0.4,1,0.9,700,18.92377089,0.965963187
412,200,100,0.4,1,0.9,800,9.682109625,0.95839719
413,200,100,0.4,1,0.9,900,17.73103418,0.965969396
414,200,100,0.4,1,0.9,1000,16.51828392,0.966255003
415,200,100,0.4,1,1,500,25.99333437,0.964638793
416,200,100,0.4,1,1,600,25.87627742,0.964811605
417,200,100,0.4,1,1,700,27.21773708,0.964947357
418,200,100,0.4,1,1,800,25.29405774,0.96465286
419,200,100,0.4,1,1,900,26.76619377,0.964910691
420,200,100,0.4,1,1,1000,27.23792096,0.96560234
421,200,100,0.5,0.4,0.1,500,11.21381828,0.958786716
422,200,100,0.5,0.4,0.1,600,8.702896074,0.966885983
423,200,100,0.5,0.4,0.1,700,11.71085916,0.959211105
424,200,100,0.5,0.4,0.1,800,8.769351627,0.967414513
425,200,100,0.5,0.4,0.1,900,8.677970003,0.967026051
426,200,100,0.5,0.4,0.1,1000,8.82121627,0.967214263
