1,2,3,4,5,6,7,8,9,10,11,12,13,14
160,13,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,62.458,0.63096
161,13,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,136.06,-0.12834
162,13,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,94.257,0.0391
163,13,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,186.92,-0.41299
164,13,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,43.686,0.5452
165,13,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,39.384,0.65486
166,13,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,82.272,0.035594
167,13,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,395.97,-0.54211
168,13,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,96.708,0.1928
169,14,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,122.92,0.033315
170,14,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,77.068,0.27783
171,14,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,84.321,0.0094962
172,14,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,430.65,-0.56566
173,14,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,473.72,-0.25125
174,14,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,72.068,0.18706
175,14,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,33.023,0.68902
176,14,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,52.798,0.44059
177,14,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,160.33,-0.11945
178,14,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,195.56,-0.29364
179,14,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,108.28,0.085618
180,14,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,141.52,-0.28149
181,14,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,211.66,-0.26452
182,14,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,48.976,0.48776
