1,neurons,spread,MSE,R
375,15,25,69.383,0.36925
376,15,26,64.993,0.41562
377,15,27,68.541,0.38618
378,15,28,71.824,0.35804
379,15,29,74.663,0.33368
380,15,30,58.45,0.45323
381,15,31,150.15,0.042428
382,15,32,157.27,0.040436
383,15,33,83.028,0.23058
384,15,34,77.804,0.26277
385,15,35,79.255,0.24693
386,15,36,80.643,0.231
387,15,37,99.86,0.16447
388,15,38,102.5,0.15384
389,15,39,105.06,0.14363
390,15,40,107.51,0.13391
391,15,41,64.342,0.38648
392,15,42,63.74,0.39002
393,15,43,66.107,0.35587
394,15,44,65.376,0.3605
395,15,45,76.999,0.30649
396,15,46,69.263,0.3218
397,15,47,69.455,0.32066
398,15,48,69.62,0.31963
399,15,49,69.754,0.31871
400,15,50,66.738,0.35286
401,17,1,61.585,0.21037
402,17,2,60.357,0.22768
403,17,3,49.901,0.63337
404,17,4,43.342,0.71922
405,17,5,31.684,0.80645
406,17,6,26.502,0.81018
407,17,7,25.734,0.77562
408,17,8,28.564,0.74204
409,17,9,31.189,0.70889
410,17,10,33.532,0.67659
411,17,11,40.31,0.5821
412,17,12,52.592,0.47174
413,17,13,56.887,0.44008
414,17,14,61.598,0.40526
415,17,15,44.31,0.54757
416,17,16,68.396,0.35047
417,17,17,81.145,0.28401
418,17,18,53.345,0.49489
419,17,19,36.434,0.66929
420,17,20,38.98,0.64711
421,17,21,67.219,0.3927
422,17,22,50.748,0.51869
423,17,23,59.319,0.48488
424,17,24,61.032,0.47517
425,17,25,74.212,0.37676
426,17,26,55.216,0.51596
427,17,27,72.07,0.39116
428,17,28,75.074,0.40134
429,17,29,79.318,0.37962
430,17,30,62.227,0.46462
431,17,31,125.08,0.19862
432,17,32,134.13,0.18439
433,17,33,90.317,0.27123
434,17,34,75.991,0.31925
435,17,35,76.631,0.30905
436,17,36,77.15,0.29951
437,17,37,170.12,0.058175
438,17,38,173.07,0.057205
439,17,39,175.12,0.057266
440,17,40,176.35,0.058191
441,17,41,101.72,0.13085
442,17,42,102,0.12935
443,17,43,131.35,-0.012213
444,17,44,130.52,-0.011419
445,17,45,84.728,0.23104
446,17,46,78.69,0.27062
447,17,47,79.83,0.26192
448,17,48,80.863,0.25417
449,17,49,81.781,0.24742
450,17,50,94.779,0.1447
451,19,1,62.429,0.21037
452,19,2,61.255,0.22719
453,19,3,50.169,0.63514
454,19,4,42.561,0.73862
455,19,5,31.404,0.80719
456,19,6,26.184,0.80891
457,19,7,24.465,0.78425
458,19,8,25.886,0.76119
459,19,9,30.647,0.71245
460,19,10,32.081,0.69085
461,19,11,38.548,0.61508
462,19,12,56.464,0.42109
463,19,13,63.699,0.37024
464,19,14,107.11,0.10924
465,19,15,41.935,0.57886
466,19,16,91.999,0.20402
467,19,17,77.379,0.32467
468,19,18,52.599,0.52023
469,19,19,44.129,0.5965
470,19,20,63.639,0.4258
471,19,21,103.7,0.17993
472,19,22,54.712,0.48362
473,19,23,66.71,0.39236
474,19,24,76.75,0.3157
475,19,25,81.564,0.3543
476,19,26,60.88,0.48147
477,19,27,135.9,0.17222
478,19,28,121.5,0.20586
479,19,29,134.72,0.18241
480,19,30,103.53,0.24486
481,19,31,122.56,0.18672
482,19,32,133.06,0.16546
483,19,33,94.554,0.26966
484,19,34,170.59,0.079909
485,19,35,179.68,0.065807
486,19,36,188.36,0.053538
487,19,37,206.4,0.068471
488,19,38,215.23,0.059905
489,19,39,223.16,0.052782
490,19,40,230.01,0.047079
491,19,41,258.72,-0.051225
492,19,42,267.44,-0.053116
493,19,43,235.83,-0.19384
494,19,44,253.92,-0.2427
495,19,45,87.162,0.20248
496,19,46,92.36,0.26346
497,19,47,94.179,0.2554
498,19,48,95.942,0.24804
499,19,49,97.618,0.24144
500,19,50,92.021,0.17576
501,21,1,63.619,0.21037
502,21,2,59.634,0.49848
503,21,3,50.686,0.64167
504,21,4,43.253,0.73504
505,21,5,31.704,0.8068
506,21,6,26.228,0.80988
507,21,7,21.084,0.81443
508,21,8,25.847,0.76313
509,21,9,30.293,0.71923
510,21,10,31.374,0.70284
511,21,11,39.661,0.60403
512,21,12,69.368,0.32613
513,21,13,86.286,0.23857
514,21,14,105.24,0.13766
515,21,15,43.326,0.5684
516,21,16,145.94,0.018631
517,21,17,156.88,-0.0020918
518,21,18,55.227,0.49945
519,21,19,58.14,0.45089
520,21,20,163.02,-0.0093279
521,21,21,99.372,0.24021
522,21,22,60.412,0.4579
523,21,23,102.7,0.18779
524,21,24,137.22,0.046054
525,21,25,99.62,0.27008
526,21,26,91.704,0.32245
527,21,27,273.78,-0.072231
528,21,28,185.74,0.073367
529,21,29,147.21,0.1407
530,21,30,164.78,0.097464
531,21,31,254.78,-0.14508
532,21,32,175,0.11732
533,21,33,179.86,0.079904
534,21,34,184.37,0.063042
535,21,35,193.81,0.053076
536,21,36,203.21,0.044632
537,21,37,209.55,0.056809
538,21,38,219.21,0.050485
539,21,39,228.64,0.045023
540,21,40,237.74,0.040346
541,21,41,247.81,0.023706
542,21,42,255.57,0.028457
543,21,43,237.23,-0.20063
544,21,44,254.42,-0.24446
545,21,45,120.94,0.14657
546,21,46,138.44,0.013509
